entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,contemp_corr,leading_corr,correlation_regime,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,outcome,benchmark_return,alpha_contribution
2016-08-05,2016-08-19,-1.0,10,-0.11462864208420132,2016-08-19,,0.0,0,,,unknown,low,,,0,,false,false,no_signal,0.0016500468251012812,-0.1162786889093026
2016-08-22,2016-09-28,-1.0,26,0.03704039357323041,2016-11-23,,0.0,0,,,unknown,low,,,0,,false,true,no_signal,-0.0036412648415360405,0.04068165841476645
2016-09-29,2016-10-10,-1.0,7,-0.043286449313133746,2016-11-23,,0.0,0,,,unknown,low,,,0,,false,false,no_signal,0.006893915882631552,-0.0501803651957653
2016-10-11,2016-11-07,-1.0,19,-0.02240107717928863,2016-11-23,,0.0,0,,,unknown,low,,,0,,false,false,no_signal,-0.0013115500887284082,-0.021089527090560223
2016-11-08,2016-11-09,-1.0,1,-0.012585331815773149,2016-11-23,,0.0,0,,,unknown,low,,,0,,false,false,no_signal,0.010602074873060197,-0.023187406688833345
2016-11-09,2016-11-22,1.0,9,0.021085742793234274,2016-11-23,,0.0,0,,,unknown,low,,,0,,false,true,no_signal,0.019410190690141826,0.001675552103092448
2016-11-23,2017-02-03,1.0,48,0.06310335339371864,2016-11-23,,0.0,0,,,unknown,low,,,0,,false,true,no_signal,0.04527278197083251,0.017830571422886132
2017-02-03,2017-05-05,-1.0,63,-0.05324526560360532,2017-02-17,,0.0,0,,,unknown,low,,,0,,false,false,no_signal,0.049720132987264964,-0.10296539859087028
2017-08-04,2017-09-11,-1.0,25,0.09109810859056688,2017-08-18,,0.0,0,,,unknown,low,,,0,,false,true,no_signal,0.007275290439871629,0.08382281815069526
2017-09-12,2017-09-19,-1.0,5,-0.04963293252323431,2017-11-22,,0.0,0,,,unknown,low,true,0.16030390738060782,1,,false,false,direction_wrong_loss,0.0046411223005182745,-0.05427405482375258
2017-09-20,2017-10-03,-1.0,9,-0.038533884946628794,2017-11-22,,0.0,0,,,unknown,low,true,0.16030390738060782,1,,false,false,direction_wrong_loss,0.0111972700920977,-0.04973115503872649
2017-10-04,2017-10-27,-1.0,17,-0.03833883321768794,2017-11-22,,0.0,0,,,unknown,low,true,0.16030390738060782,1,,false,false,direction_wrong_loss,0.01797268211625047,-0.05631151533393841
2017-10-30,2017-11-08,-1.0,7,-0.017687363653261068,2017-11-22,,0.0,0,,,unknown,low,true,0.16030390738060782,1,,false,false,direction_wrong_loss,0.00919199811355953,-0.026879361766820598
2017-11-08,2017-11-20,1.0,8,0.016933736374715513,2017-11-22,,0.0,0,,,unknown,low,true,0.16030390738060782,1,,false,true,direction_right_profit,-0.0031260715859126043,0.020059807960628118
2017-11-21,2018-02-02,1.0,49,0.18930187105273144,2017-11-22,,0.0,0,,,unknown,low,true,0.16030390738060782,1,,false,true,direction_right_profit,0.06487936129904703,0.12442250975368441
2018-02-02,2018-02-05,-1.0,1,0.048132786742419054,2018-02-16,,0.0,0,,,unknown,low,true,0.080234375,1,,false,true,direction_right_profit,-0.04182267293629216,0.08995545967871121
2018-02-06,2018-02-07,-1.0,1,0.0027184720483662828,2018-02-16,,0.0,0,,,unknown,low,true,0.080234375,1,,false,true,direction_right_profit,-0.0054249181993488715,0.008143390247715154
2018-02-08,2018-02-09,-1.0,1,-0.008265224701426543,2018-02-16,,0.0,0,,,unknown,low,true,0.080234375,1,,false,false,direction_wrong_loss,0.015021805424452417,-0.02328703012587896
