entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,contemp_corr,leading_corr,correlation_regime,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,outcome,benchmark_return,alpha_contribution
2016-10-26,2016-12-15,1.0,35,0.13593121361875915,2016-10-26,,0.0,0,,,unknown,low,,,0,,false,true,no_signal,0.06114907080881049,0.07478214280994866
2016-12-16,2017-02-07,1.0,34,0.09891826183419639,2017-02-07,,0.0,0,,,unknown,low,,,0,,false,true,no_signal,0.017330771009842483,0.0815874908243539
2017-04-28,2017-08-11,1.0,73,0.07998338884440481,2017-04-28,,0.0,0,,,unknown,low,,,0,,false,true,no_signal,0.030370354154214407,0.049613034690190405
2017-08-14,2017-08-24,1.0,8,-0.05222631438462766,2017-10-31,,0.0,0,,,unknown,low,,,0,,false,false,no_signal,-0.01034290233963775,-0.04188341204498991
2017-08-25,2017-10-13,1.0,34,0.06846056147869639,2017-10-31,,0.0,0,,,unknown,low,,,0,,false,true,no_signal,0.04765824408223507,0.020802317396461323
2017-10-16,2017-10-31,1.0,11,-0.043653875431840405,2017-10-31,,0.0,0,,,unknown,low,,,0,,false,false,no_signal,0.007285665645308859,-0.050939541077149264
2017-11-01,2017-11-22,-1.0,15,-0.016072633320644236,2018-02-06,,0.0,0,,,unknown,low,true,0.057489539748953974,1,,false,false,direction_wrong_loss,0.008816265147040037,-0.024888898467684273
2017-11-24,2017-12-15,-1.0,15,-0.0628658573921308,2018-02-06,,0.0,0,,,unknown,low,true,0.057489539748953974,1,,false,false,direction_wrong_loss,0.02885348796542142,-0.09171934535755222
2017-12-18,2018-03-09,-1.0,55,0.08991538411961686,2018-02-06,,0.0,0,,,unknown,low,true,0.057489539748953974,1,,false,true,direction_right_profit,0.03978402995686059,0.05013135416275627
2018-03-12,2018-04-04,-1.0,16,0.023123545233565412,2018-05-01,,0.0,0,,,unknown,low,true,0.0793010752688172,1,,false,true,direction_right_profit,-0.049922474884258605,0.07304602011782402
2018-04-05,2018-05-08,-1.0,23,0.048610964279490076,2018-05-01,,0.0,0,,,unknown,low,true,0.0793010752688172,1,,false,true,direction_right_profit,0.004818562316602382,0.043792401962887695
2018-05-09,2018-05-18,-1.0,7,-0.06173416127204834,2018-07-31,1.685921202750915,0.0,1,,,unknown,low,true,0.04,1,,true,false,direction_wrong_loss,0.006790079597033483,-0.06852424086908182
2018-05-21,2018-07-09,-1.0,33,0.0721529654272981,2018-07-31,1.685921202750915,0.0,1,,,unknown,low,true,0.04,1,,true,true,direction_right_profit,0.021135658829030346,0.05101730659826775
2018-07-10,2018-07-31,-1.0,15,-0.005745314327591622,2018-07-31,1.685921202750915,0.0,1,,,unknown,low,true,0.04,1,,true,false,direction_wrong_loss,0.008712803028496197,-0.014458117356087818
2018-08-01,2018-08-10,1.0,7,-0.038642733629084436,2018-10-30,1.1704960957049532e-14,0.0,1,,,unknown,low,true,0.030093023255813953,1,,true,false,direction_wrong_loss,0.008189332224071366,-0.0468320658531558
2018-08-13,2018-09-13,1.0,22,0.007195464177127686,2018-10-30,1.1704960957049532e-14,0.0,1,,,unknown,low,true,0.030093023255813953,1,,true,true,direction_right_profit,0.03094655459455864,-0.023751090417430953
2018-09-14,2018-10-09,1.0,17,-0.002564666250212899,2018-10-30,1.1704960957049532e-14,0.0,1,,,unknown,low,true,0.030093023255813953,1,,true,false,direction_wrong_loss,-0.0074910318135174014,0.004926365563304502
2018-10-10,2018-10-23,1.0,9,-0.07592290552682579,2018-10-30,1.1704960957049532e-14,0.0,1,,,unknown,low,true,0.030093023255813953,1,,true,false,direction_wrong_loss,-0.016852147706776566,-0.059070757820049224
2018-10-24,2018-10-30,1.0,4,0.08128664083187953,2018-10-30,1.1704960957049532e-14,0.0,1,,,unknown,low,true,0.030093023255813953,1,,true,true,direction_right_profit,0.009233835497416631,0.0720528053344629
2018-10-30,2018-12-07,-1.0,26,-0.0511363398256246,2018-10-30,1.1704960957049532e-14,0.0,1,,,unknown,low,true,0.030093023255813953,1,,true,false,direction_wrong_loss,-0.015685067577304146,-0.03545127224832045
