entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,corr_col_used,corr_value_used,correlation_regime,flipped,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,flip_helped,outcome,benchmark_return,alpha_contribution
2018-07-25,2018-07-26,-1.0,1,-0.014949019548776699,2018-07-30,,,0,,,unknown,false,low,true,0.017501815541031227,1,,false,false,,direction_wrong_loss,-0.0023589044084169064,-0.012590115140359792
2018-07-27,2018-07-30,-1.0,1,0.019711331315931613,2018-07-30,,,0,,,unknown,false,low,true,0.017501815541031227,1,,false,true,,direction_right_profit,-0.005223705848684035,0.024935037164615648
2018-07-31,2018-08-07,-1.0,5,0.009874645823247263,2018-10-23,,,0,,,unknown,false,low,true,0.022710068130204392,1,,false,true,,direction_right_profit,0.015106747557078748,-0.005232101733831485
2018-08-08,2018-08-16,-1.0,6,0.024694321094198113,2018-10-23,,,0,,,unknown,false,low,true,0.022710068130204392,1,,false,true,,direction_right_profit,-0.0049040956564393445,0.029598416750637457
2018-08-17,2018-08-27,-1.0,6,-0.019377021563103947,2018-10-23,,,0,,,unknown,false,low,true,0.022710068130204392,1,,false,false,,direction_wrong_loss,0.016558137565694686,-0.03593515912879863
2018-08-28,2018-09-12,-1.0,10,-0.016056125598174376,2018-10-23,,,0,,,unknown,false,low,true,0.022710068130204392,1,,false,false,,direction_wrong_loss,-0.0027598550073859585,-0.013296270590788417
2018-09-13,2018-09-19,-1.0,4,-0.049608113827178224,2018-10-23,,,0,,,unknown,false,low,true,0.022710068130204392,1,,false,false,,direction_wrong_loss,0.0013413624885350028,-0.05094947631571323
2018-09-20,2018-10-03,-1.0,9,-0.014230935016120938,2018-10-23,,,0,,,unknown,false,low,true,0.022710068130204392,1,,false,false,,direction_wrong_loss,-0.0018374034043524556,-0.012393531611768482
2018-10-04,2018-10-23,-1.0,13,0.23611939677020777,2018-10-23,,,0,,,unknown,false,low,true,0.022710068130204392,1,,false,true,,direction_right_profit,-0.054692187446934604,0.29081158421714237
2018-10-24,2018-10-29,-1.0,3,-0.01459864260308441,2019-01-28,,,0,,,unknown,false,low,true,0.005750350631136045,1,,false,false,,direction_wrong_loss,-0.005502981827051223,-0.009095660776033188
2018-10-30,2018-10-31,-1.0,1,-0.032862103522607766,2019-01-28,,,0,,,unknown,false,low,true,0.005750350631136045,1,,false,false,,direction_wrong_loss,0.010680734036051742,-0.04354283755865951
