entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,corr_col_used,corr_value_used,correlation_regime,flipped,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,flip_helped,outcome,benchmark_return,alpha_contribution
2023-03-27,2023-04-05,1.0,7,-0.009423526652769576,2023-04-25,-1.6301259330475817,,-1,,,unknown,false,low,true,0.12377984084880636,1,,false,false,,direction_wrong_loss,0.0,-0.009423526652769576
2023-04-06,2023-04-27,1.0,14,0.050423458776670316,2023-04-25,-1.6301259330475817,,-1,,,unknown,false,low,true,0.12377984084880636,1,,false,true,,direction_right_profit,0.0,0.050423458776670316
2023-04-28,2023-05-02,1.0,2,-0.03715332762090784,2023-07-25,0.0,,0,,,unknown,false,medium,true,0.11711949685534591,1,0.11711949685534591,false,false,,direction_wrong_loss,0.0,-0.03715332762090784
2023-06-26,2023-07-06,1.0,7,0.021600991206864206,2023-07-25,0.0,,0,,,unknown,false,medium,true,0.11711949685534591,1,0.11711949685534591,false,true,,direction_right_profit,0.0,0.021600991206864206
2023-07-07,2023-07-25,1.0,12,0.039332641826932635,2023-07-25,0.0,,0,,,unknown,false,medium,true,0.11711949685534591,1,0.11711949685534591,false,true,,direction_right_profit,0.0,0.039332641826932635
2023-07-26,2023-08-29,1.0,24,-0.02069499627537308,2023-10-24,-1.2964732989541802e-13,,-1,,,unknown,false,medium,true,0.08977443609022556,1,0.08977443609022637,false,false,,direction_wrong_loss,0.0,-0.02069499627537308
2023-09-26,2023-10-13,-1.0,13,0.004006721051691198,2023-10-24,-1.2964732989541802e-13,,-1,,,unknown,false,medium,true,0.08977443609022556,1,0.08977443609022637,false,true,,direction_right_profit,0.0,0.004006721051691198
2023-10-16,2023-10-25,-1.0,7,-0.0032320389648885506,2023-10-24,-1.2964732989541802e-13,,-1,,,unknown,false,medium,true,0.08977443609022556,1,0.08977443609022637,false,false,,direction_wrong_loss,0.0,-0.0032320389648885506
2023-10-26,2023-11-02,-1.0,5,-0.012835098511878362,2024-01-23,-1.1699371191839104e-13,,-1,,,unknown,false,medium,true,0.10690243902439024,1,0.10690243902438898,false,false,,direction_wrong_loss,0.0,-0.012835098511878362
2023-12-21,2024-01-22,1.0,19,0.004381062570698813,2024-01-23,-1.1699371191839104e-13,,-1,,,unknown,false,medium,true,0.10690243902439024,1,0.10690243902438898,false,true,,direction_right_profit,0.0,0.004381062570698813
2024-01-23,2024-04-02,1.0,48,0.20693916229480847,2024-01-23,-1.1699371191839104e-13,,-1,,,unknown,false,medium,true,0.10690243902439024,1,0.10690243902438898,false,true,,direction_right_profit,0.0,0.20693916229480847
2024-04-02,2024-04-03,-1.0,1,0.019531289478921243,2024-04-30,-1.1786052276639066e-6,,-1,,,unknown,false,medium,true,0.08490074441687345,1,0.08490073054868968,false,true,,direction_right_profit,0.0,0.019531289478921243
2024-04-04,2024-05-10,-1.0,26,0.09199778056221952,2024-04-30,-1.1786052276639066e-6,,-1,,,unknown,false,medium,true,0.08490074441687345,1,0.08490073054868968,false,true,,direction_right_profit,0.0,0.09199778056221952
2024-05-13,2024-05-24,-1.0,9,-0.03265599152658338,2024-07-23,-0.0030962890865389994,,-1,,,unknown,false,medium,true,0.05433894230769231,1,51.71500772840895,false,false,,direction_wrong_loss,0.0,-0.03265599152658338
2024-06-24,2024-07-15,-1.0,14,0.022986230286575537,2024-07-23,-0.0030962890865389994,,-1,,,unknown,false,medium,true,0.05433894230769231,1,51.71500772840895,false,true,,direction_right_profit,0.0,0.022986230286575537
2024-07-16,2024-07-17,-1.0,1,-0.006896856386754191,2024-07-23,-0.0030962890865389994,,-1,,,unknown,false,medium,true,0.05433894230769231,1,51.71500772840895,false,false,,direction_wrong_loss,0.0,-0.006896856386754191
2024-07-18,2024-07-23,-1.0,3,0.08805241618152815,2024-07-23,-0.0030962890865389994,,-1,,,unknown,false,medium,true,0.05433894230769231,1,51.71500772840895,false,true,,direction_right_profit,0.0,0.08805241618152815
2024-09-24,2024-10-03,1.0,7,0.017283439075238327,2024-10-22,0.01960942368305201,,1,,,unknown,false,medium,true,0.08993386243386244,1,0.1604163171973737,true,true,,direction_right_profit,0.0,0.017283439075238327
