entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,corr_col_used,corr_value_used,correlation_regime,flipped,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,flip_helped,outcome,benchmark_return,alpha_contribution,entry_type
2018-04-18,2018-04-19,1.0,1,-0.08760148017695679,2018-04-25,,,0,,,unknown,false,no_data,true,0.07022657685241886,1,,false,false,,direction_wrong_loss,0.0,-0.08760148017695679,momentum
2018-04-20,2018-07-02,1.0,50,0.3772614590680077,2018-04-25,,,0,,,unknown,false,no_data,true,0.07022657685241886,1,,false,true,,direction_right_profit,0.0,0.3772614590680077,momentum
2018-07-03,2018-07-18,1.0,10,0.09929728832552143,2018-07-25,,,0,,,unknown,false,no_data,true,0.04481810625919059,1,,false,true,,direction_right_profit,0.0,0.09929728832552143,momentum
2019-01-22,2019-01-30,1.0,6,0.07711879111088016,2019-01-29,,,0,,,unknown,false,no_data,true,0.04294670234165967,1,,false,true,,direction_right_profit,0.0,0.07711879111088016,momentum
2019-01-31,2019-03-05,1.0,22,-0.03908413676165645,2019-04-24,,,0,,,unknown,false,no_data,true,0.03542126407514287,1,,false,false,,direction_wrong_loss,0.0,-0.03908413676165645,momentum
2019-03-06,2019-04-16,1.0,29,0.2459710895883107,2019-04-24,,,0,,,unknown,false,no_data,true,0.03542126407514287,1,,false,true,,direction_right_profit,0.0,0.2459710895883107,momentum
2019-10-16,2020-01-15,1.0,62,0.29561358133217386,2019-10-23,-1.700846855672055,,-1,,,unknown,false,no_data,true,0.02511561961988995,1,,false,true,,direction_right_profit,0.0,0.29561358133217386,momentum
2020-01-16,2020-01-22,1.0,3,-0.020068067379575005,2020-01-29,-5.515663193783433e-15,,-1,,,unknown,false,no_data,true,0.00703603254552499,1,,false,false,,direction_wrong_loss,0.0,-0.020068067379575005,momentum
2021-04-21,2021-05-04,1.0,9,-0.05507400294535636,2021-04-28,-0.0008057146928730917,,-1,,,unknown,false,no_data,true,0.1095307772431923,1,0.15965930596285788,false,false,,direction_wrong_loss,0.0,-0.05507400294535636,momentum
2021-05-05,2021-05-11,1.0,4,-0.005252508097277064,2021-07-28,0.06224850967001037,,1,,,unknown,false,no_data,true,0.07817433228091134,1,7.056046144576971,true,false,,direction_wrong_loss,0.0,-0.005252508097277064,momentum
2021-05-12,2021-07-21,1.0,48,0.12942914820226425,2021-07-28,0.06224850967001037,,1,,,unknown,false,no_data,true,0.07817433228091134,1,7.056046144576971,true,true,,direction_right_profit,0.0,0.12942914820226425,momentum
2022-07-20,2022-07-25,1.0,3,-0.08167869032678676,2022-07-27,-0.0029806880632638937,,-1,,,unknown,false,no_data,false,-0.04004950495049505,-1,0.03928550819363199,true,false,,direction_wrong_loss,0.0,-0.08167869032678676,momentum
2022-07-26,2022-08-09,1.0,10,0.08647666951999033,2022-07-27,-0.0029806880632638937,,-1,,,unknown,false,no_data,false,-0.04004950495049505,-1,0.03928550819363199,true,true,,direction_right_profit,0.0,0.08647666951999033,momentum
2022-08-10,2022-08-22,1.0,8,-0.11035061337353003,2022-10-26,-0.26672999837016953,,-1,,,unknown,false,no_data,false,-0.09246121542005586,-1,0.04857849178382567,true,false,,direction_wrong_loss,0.0,-0.11035061337353003,momentum
2024-07-17,2024-07-25,1.0,6,-0.09789288291184317,2024-07-24,0.7469281454662838,,1,,,unknown,false,no_data,false,-0.011067307692307692,-1,0.06932835777826339,false,false,,direction_wrong_loss,0.0,-0.09789288291184317,momentum
2024-07-26,2024-08-02,1.0,5,-0.03157174666104534,2024-10-23,0.07515344133696705,,1,,,unknown,false,no_data,false,-0.012192658140897428,-1,0.013900724022877328,false,false,,direction_wrong_loss,0.0,-0.03157174666104534,momentum
2024-08-05,2024-09-05,1.0,22,0.08935270565022813,2024-10-23,0.07515344133696705,,1,,,unknown,false,no_data,false,-0.012192658140897428,-1,0.013900724022877328,false,true,,direction_right_profit,0.0,0.08935270565022813,momentum
2025-04-23,2025-05-07,1.0,10,-0.028268321546077058,2025-04-30,-0.1593596451480958,,-1,,,unknown,false,no_data,,,0,,false,false,,no_signal,0.0,-0.028268321546077058,momentum
2025-05-08,2025-05-21,1.0,9,-0.04985347581279853,2025-07-30,-0.05559469214075881,,-1,,,unknown,false,no_data,,,0,,false,false,,no_signal,0.0,-0.04985347581279853,momentum
2025-05-22,2025-07-23,1.0,41,0.18260821598404342,2025-07-30,-0.05559469214075881,,-1,,,unknown,false,no_data,,,0,,false,true,,no_signal,0.0,0.18260821598404342,momentum
