entry_date,exit_date,direction,holding_days,trade_return,signal_date,signal_value,signal_confidence,signal_direction,corr_col_used,corr_value_used,correlation_regime,flipped,signal_quality,actual_beat_consensus,actual_surprise,actual_surprise_direction,prediction_error,signal_correct,trade_direction_correct,flip_helped,outcome,benchmark_return,alpha_contribution,entry_type
2018-08-20,2018-09-25,1.0,25,0.010817381450203944,2018-08-23,1.6299447127218725,0.0,1,contemp,,unknown,false,low,false,-0.008241716696659459,-1,,false,true,,direction_right_profit,0.022390029288556823,-0.011572647838352879,correlation_aware
2018-09-26,2018-10-08,1.0,8,-0.032797120042076355,2018-08-23,1.6299447127218725,0.0,1,contemp,,unknown,false,low,false,-0.008241716696659459,-1,,false,false,,direction_wrong_loss,-0.007106687800968903,-0.025690432241107453,correlation_aware
2018-10-09,2018-10-11,1.0,2,-0.022257766592728268,2018-08-23,1.6299447127218725,0.0,1,contemp,,unknown,false,low,false,-0.008241716696659459,-1,,false,false,,direction_wrong_loss,-0.05299225386193529,0.030734487269207023,correlation_aware
2018-10-12,2018-10-23,1.0,7,-0.011498643498134786,2018-08-23,1.6299447127218725,0.0,1,contemp,,unknown,false,low,false,-0.008241716696659459,-1,,false,false,,direction_wrong_loss,-0.008479862884444689,-0.0030187806136900974,correlation_aware
2018-10-24,2018-11-01,1.0,6,0.07577997437701756,2018-08-23,1.6299447127218725,0.0,1,contemp,,unknown,false,low,false,-0.008241716696659459,-1,,false,true,,direction_right_profit,0.030867936926620043,0.04491203745039751,correlation_aware
2018-11-02,2018-12-04,1.0,21,0.0005040493556462966,2018-08-23,1.6299447127218725,0.0,1,contemp,,unknown,false,low,false,-0.008241716696659459,-1,,false,true,,direction_right_profit,-0.006031890895076608,0.006535940250722905,correlation_aware
2018-12-06,2018-12-17,1.0,7,-0.028719068336906406,2018-12-06,0.9103791059093616,0.0,1,contemp,,unknown,false,low,true,0.03951426368542791,1,,true,false,,direction_wrong_loss,-0.05366148623923539,0.024942417902328984,correlation_aware
2018-12-18,2018-12-21,1.0,3,-0.04275015192223075,2018-12-06,0.9103791059093616,0.0,1,contemp,,unknown,false,low,true,0.03951426368542791,1,,true,false,,direction_wrong_loss,-0.050863903517058606,0.008113751594827856,correlation_aware
2018-12-24,2019-02-15,1.0,36,0.2017658091679997,2018-12-06,0.9103791059093616,0.0,1,contemp,,unknown,false,low,true,0.03951426368542791,1,,true,true,,direction_right_profit,0.18362236957710865,0.018143439590891042,correlation_aware
2019-05-20,2019-05-23,1.0,3,-0.06159246057370171,2019-05-23,-6.457087074307883e-11,0.0,-1,contemp,-0.8223227648451028,strong_negative,true,medium,true,0.02634021443430949,1,0.02634021443115227,false,false,false,direction_wrong_loss,-0.006374597888059386,-0.05521786268564233,correlation_aware
